,id_lowongan,asal_situs,link_lowongan
0,27458,karir,https://karir.com/opportunities/1322898
1,42482,jobstreet,https://www.jobstreet.co.id/id/job/technical-support-engineer-3713266?jobId=jobstreet-id-job-3713266&sectionRank=1&token=0~dc7ffedf-a1d2-440f-96ed-61784d69e943&fr=SRP%20Job%20Listing
2,42592,jobstreet,https://www.jobstreet.co.id/id/job/social-media-staff-3713514?jobId=jobstreet-id-job-3713514&sectionRank=10&token=0~97cacf13-dfc3-4185-af51-7e86f9c399aa&fr=SRP%20Job%20Listing
3,42604,jobstreet,https://www.jobstreet.co.id/id/job/staff-online-marketplace-dan-social-media-3713076?jobId=jobstreet-id-job-3713076&sectionRank=29&token=0~97cacf13-dfc3-4185-af51-7e86f9c399aa&fr=SRP%20Job%20Listing
4,42605,jobstreet,https://www.jobstreet.co.id/id/job/social-media-specialist-3713024?jobId=jobstreet-id-job-3713024&sectionRank=30&token=0~97cacf13-dfc3-4185-af51-7e86f9c399aa&fr=SRP%20Job%20Listing
5,42623,jobstreet,https://www.jobstreet.co.id/id/job/junior-web-developer-3713621?jobId=jobstreet-id-job-3713621&sectionRank=23&token=0~9e41418c-28e9-4076-98ca-906e7cff06bc&fr=SRP%20Job%20Listing
6,42684,jobstreet,https://www.jobstreet.co.id/id/job/supervisor-pajak-3712853?jobId=jobstreet-id-job-3712853&sectionRank=2&token=0~df51fb52-1430-4c39-821b-98b9949bc3fb&fr=SRP%20Job%20Listing
7,42688,jobstreet,https://www.jobstreet.co.id/id/job/packing-barang-3713079?jobId=jobstreet-id-job-3713079&sectionRank=7&token=0~df51fb52-1430-4c39-821b-98b9949bc3fb&fr=SRP%20Job%20Listing
8,42719,jobstreet,https://www.jobstreet.co.id/id/job/data-engineer-3713330?jobId=jobstreet-id-job-3713330&sectionRank=30&token=0~f4c3461c-d781-47ac-a63d-763676f9dc02&fr=SRP%20Job%20Listing
9,42781,jobstreet,https://www.jobstreet.co.id/id/job/staff-it-for-hospital-3713340?jobId=jobstreet-id-job-3713340&sectionRank=13&token=0~d7c029f6-5a77-43ba-a42a-6104298b25d2&fr=SRP%20Job%20Listing
10,42790,jobstreet,https://www.jobstreet.co.id/id/job/technical-support-engineer-3713266?jobId=jobstreet-id-job-3713266&sectionRank=2&token=0~faec4844-5ce2-4190-86b8-4ac33ea197e8&fr=SRP%20Job%20Listing
11,42873,jobstreet,https://www.jobstreet.co.id/id/job/back-end-developer-3713669?jobId=jobstreet-id-job-3713669&sectionRank=5&token=0~5d74d5db-6fdf-41f7-b542-62fd2584c358&fr=SRP%20Job%20Listing
12,42911,jobstreet,https://www.jobstreet.co.id/id/job/creative-director-3713020?jobId=jobstreet-id-job-3713020&sectionRank=23&token=0~1af26249-d5c0-4dea-8aa4-51133ab05657&fr=SRP%20Job%20Listing
13,43009,jobstreet,https://www.jobstreet.co.id/id/job/laravel-web-developer-3712891?jobId=jobstreet-id-job-3712891&sectionRank=12&token=0~a2b13dd2-417c-42e2-90cd-aa05de053e38&fr=SRP%20Job%20Listing
14,43012,jobstreet,https://www.jobstreet.co.id/id/job/supervisor-accounting-3711851?jobId=jobstreet-id-job-3711851&sectionRank=16&token=0~a2b13dd2-417c-42e2-90cd-aa05de053e38&fr=SRP%20Job%20Listing
15,43065,jobstreet,https://www.jobstreet.co.id/id/job/staff-it-for-hospital-3713340?jobId=jobstreet-id-job-3713340&sectionRank=21&token=0~b19ef13b-c8ab-4483-b55e-5dff71165297&fr=SRP%20Job%20Listing
16,43097,jobstreet,https://www.jobstreet.co.id/id/job/system-engineer-vpc-3713817?jobId=jobstreet-id-job-3713817&sectionRank=4&token=0~c12eecfb-cda0-4420-a494-e7a6576a2446&fr=SRP%20Job%20Listing
17,43195,jobstreet,https://www.jobstreet.co.id/id/job/digital-business-analyst-3712979?jobId=jobstreet-id-job-3712979&sectionRank=15&token=0~83118ab0-092a-4442-a24c-11707ff891ba&fr=SRP%20Job%20Listing
18,43252,jobstreet,https://www.jobstreet.co.id/id/job/supervisor-teknisi-refrigasi-3713460?jobId=jobstreet-id-job-3713460&sectionRank=26&token=0~2ebda178-546c-414a-92cc-1e2bbc64f3bf&fr=SRP%20Job%20Listing
19,43286,jobstreet,https://www.jobstreet.co.id/id/job/legal-officer-3720878?jobId=jobstreet-id-job-3720878&sectionRank=2&token=0~e182fef5-388f-4c10-b179-5ed8298ab9e0&fr=SRP%20Job%20Listing
20,43287,jobstreet,https://www.jobstreet.co.id/id/job/staff-marketing-3714801?jobId=jobstreet-id-job-3714801&sectionRank=3&token=0~e182fef5-388f-4c10-b179-5ed8298ab9e0&fr=SRP%20Job%20Listing
21,43288,jobstreet,https://www.jobstreet.co.id/id/job/warehouse-distribution-manager-3715950?jobId=jobstreet-id-job-3715950&sectionRank=4&token=0~e182fef5-388f-4c10-b179-5ed8298ab9e0&fr=SRP%20Job%20Listing
