,asal,lowongan,perusahaan,lokasi,keterangan,skill,benefit,deskripsi,stem,link
0,karir,Field Collection Surabaya,PT Home Credit Indonesia,Surabaya - Surabaya, Kolektor. Jenjang Karir. Pemula / Staf. Pengalaman. Setidaknya 0 tahun. Jurusan. Semuanya. Lulusan. Apa Saja,-,-, Persyaratan  Syarat pelamar     · Usia maksimal 45 Tahun  · Bersedia melakukan pekerjaan lapangan  berkunjung ke rumah customer minimal 15 kunjungan per hari dan bisa lebih jika dibutuhkan   · Siap bekerja dengan target  · Memiliki sepeda motor  · Memiliki SIM C  Aktif  dan hafal wilayah Kota Domisili  · Pendidikan minimal SMA SMK MA Paket C  · Freshgraduate boleh melamar  · Berdomisili di Surabaya dan siap bekerja di wilayah Surabaya  Benefit   · Jenjang karir  · Bonus tanpa batas  · Gaji pokok  · Uang Transport   Uang Pulsa  · KESEMPATAN BERKARIR yang LUAS hingga mencapai level manajerial di dalam Group Perusahaan   · Asuransi Kesehatan    Tanggung Jawab  Tugas dan tanggung jawab     · Berkunjung ke rumah customer untuk melakukan kegiatan penagihan secara langsung kepada customer yang terlambat membayar cicilan kredit  · Mencapai target penagihan bulanan  · Mencapai target kunjungan harian  · Menjalankan proses penagihan sesuai prosedur yang berlaku     ,field collect surabaya pt home credit indonesia surabaya surabaya kolektor jenjang karir mula staf alam tidak 0 tahun jurus semua lulus apa saja syarat syarat lamar usia maksim 45 tahun sedia laku kerja lapang kunjung ke rumah custom minim 15 kunjung per hari dan bisa lebih jika butuh siap kerja dengan target milik sepeda motor milik sim c aktif dan hafal wilayah kota domisili didik minim sma smk ma paket c freshgradu boleh lamar domisili di surabaya dan siap kerja di wilayah surabaya benefit jenjang karir bonu tanpa bata gaji pokok uang transport uang pulsa sempat berkarir yang lua hingga capai level manajer di dalam group usaha asuransi sehat tanggung jawab tuga dan tanggung jawab kunjung ke rumah custom untuk laku giat tagih cara langsung kepada custom yang lambat bayar cicil kredit capai target tagih bulan capai target kunjung hari jalan prose tagih sesuai prosedur yang laku,https://karir.com/opportunities/1327239
1,karir,Crew Restoran - Based Surabaya (Rungkut),PT Rekso Nasional Food (McDonalds Indonesia),Surabaya - Surabaya, Operasi Restoran. Jenjang Karir. Pemula / Staf. Pengalaman. Setidaknya 0 tahun. Jurusan. Lainnya. Lulusan. SMA/SMK/Sederajat,-,-," Persyaratan  Cara Melamar     Ikuti panduan dengan mengisi data pribadi akurat seperti  nama lengkap alamat lengkap dan provinsi sesuai domisili saat ini serta nomor handphone aktif   Pastikan email kamu terhubung dengan ponsel   Kamu akan diarahkan untuk mengikuti tes seleksi online sebanyak 20 soal kurang lebih 10 15 menit waktu penyelesaian  Kerjakan dengan baik dan sejujur jujurnya dengan memilih hal yang TIDAK akan anda lakukan   Penempatan lokasi restoran akan disesuaikan dengan domisili anda saat ini   Kualifikasi   Lulusan SMA Sederajat   Usia maksimal 22 Tahun   Diutamakan berada di wilayah Surabaya   Bersedia bekerja secara shift termasuk hari libur   Mempunyai kemampuan komunikasi yang baik   Berpenampilan menarik energetik percaya diri sabar dan mempunyai inisiatif serta motivasi tinggi   Mampu bekerjasama dengan tim   Bersedia melampirkan hasil swab antigen surat keterangan sehat dan surat keterangan bebas narkoba   
  Tanggung Jawab  Memberikan pengalaman menyenangkan kepada pelanggan  Memberikan keramahtamahan saat pelanggan berkunjung ke restoran  Menyajikan menu yang disukai dengan kualitas terbaik kepada pelanggan  Memastikan kebersihan di setiap workstation sesuai tanggung jawab masing masing    ",crew restoran base surabaya rungkut pt rekso nasion food mcdonald indonesia surabaya surabaya operasi restoran jenjang karir mula staf alam tidak 0 tahun jurus lain lulus sma smk derajat syarat cara lamar ikut pandu dengan isi data pribadi akurat seperti nama lengkap alamat lengkap dan provinsi sesuai domisili saat ini serta nomor handphon aktif pasti email kamu hubung dengan ponsel kamu akan arah untuk ikut te seleksi onlin banyak 20 soal kurang lebih 10 15 menit waktu selesai kerja dengan baik dan jujur jujur dengan pilih hal yang tidak akan anda laku tempat lokasi restoran akan sesuai dengan domisili anda saat ini kualifikasi lulus sma derajat usia maksim 22 tahun utama ada di wilayah surabaya sedia kerja cara shift masuk hari libur punya mampu komunikasi yang baik tampil tarik energetik percaya diri sabar dan punya inisiatif serta motivasi tinggi mampu bekerjasama dengan tim sedia lampir hasil swab antigen surat terang sehat dan surat terang beba narkoba tanggung jawab beri alam senang kepada langgan beri keramahtamahan saat langgan kunjung ke restoran saji menu yang suka dengan kualita baik kepada langgan pasti bersih di tiap workstat sesuai tanggung jawab mase mase,https://karir.com/opportunities/1327039
2,karir,Marketing,PT Penerbit Erlangga Surabaya,Sidoarjo, Penjualan dan Pemasaran. Jenjang Karir. Pemula / Staf. Pengalaman. Setidaknya 0 tahun. Jurusan. Semuanya. Lulusan. Diploma Sarjana/S1,-,-, Persyaratan  Pria Wanita Max 27 Tahun  Pendidikan Min D3 S1 Segala Jurusan  IPK Min 2 75  Skala 4 00   Memiliki SIM C  Kreatif Mandiri Inovatif  Bebadan sehat  Jasmani dan Rohana   Memiliki kemampuan IT lebih disukai  Tanggung Jawab      ,market pt terbit erlangga surabaya sidoarjo jual dan pasar jenjang karir mula staf alam tidak 0 tahun jurus semua lulus diploma sarjana s1 syarat pria wanita max 27 tahun didik min d3 s1 segala jurus ipk min 2 75 skala 4 00 milik sim c kreatif mandiri inovatif bebadan sehat jasmani dan rohana milik mampu it lebih suka tanggung jawab,https://karir.com/opportunities/1326857
3,karir,Staff Accounting,PT Penerbit Erlangga Surabaya,Sidoarjo, Akuntansi Keuangan Akuntan Perpajakan. Jenjang Karir. Pemula / Staf Staf Senior. Pengalaman. Setidaknya 0 tahun. Jurusan. Akuntansi. Lulusan. Sarjana/S1,-,-, Persyaratan  Pria Max 27 Tahun  Pendidikan S1 Akutansi  IPK Min 2 75  Skala 4 00   Fresh Graduate   Berpengalaman  Berbadan sehat  Jasmani dan Rohani   Tanggung Jawab      ,staff account pt terbit erlangga surabaya sidoarjo akuntansi uang akuntan paja jenjang karir mula staf staf senior alam tidak 0 tahun jurus akuntansi lulus sarjana s1 syarat pria max 27 tahun didik s1 akutansi ipk min 2 75 skala 4 00 fresh graduat alam badan sehat jasmani dan rohani tanggung jawab,https://karir.com/opportunities/1326858
4,karir,Management Traine Marketing (SURABAYA),PT Smart Multi Finance,PT Smart Multi Finance Surabaya 2 - Surabaya, Penjualan dan Pemasaran. Jenjang Karir. Pemula / Staf. Pengalaman. Setidaknya 0 tahun. Jurusan. Semuanya. Lulusan. Sarjana/S1,-,-, Persyaratan  Pendidikan minimal S1  IPK minimal 2 75  Usia maksimal 27 tahun  Menyukai dunia sales marketing  Memiliki jiwa leadership yang baik  Bersedia mengikuti ikatan dinas selama 2 tahun  Bersedia di tempatkan di seluruh Indonesia  Terbiasa bekerja dengan deadline  Tanggung Jawab  Management Trainee merupakan program percepatan karir dimana freshgraduate akan mengikuti program pelatihan selama 6 bulan  ketika MT dinyatakan lulus akan menjabat sebagai Supervisor yang akan memimpin tim di cabang penempatan  Dengan tanggung jawab pekerjaan sebagai berikut     Mengikuti serangkaian proses pelatihan yang disusun perusahaan  Membuat laporan secara berkala kepada atasan  Melakukan improvisasi atas sistem kerja yang ada   ,manag train market surabaya pt smart multi financ pt smart multi financ surabaya 2 surabaya jual dan pasar jenjang karir mula staf alam tidak 0 tahun jurus semua lulus sarjana s1 syarat didik minim s1 ipk minim 2 75 usia maksim 27 tahun suka dunia sale market milik jiwa leadership yang baik sedia ikut ikat dina lama 2 tahun sedia di tempat di seluruh indonesia biasa kerja dengan deadlin tanggung jawab manag traine rupa program cepat karir mana freshgradu akan ikut program latih lama 6 bulan ketika mt nyata lulu akan jabat bagai supervisor yang akan pimpin tim di cabang tempat dengan tanggung jawab kerja bagai ikut ikut rangkai prose latih yang susun usaha buat lapor cara kala kepada atas laku improvisasi ata sistem kerja yang ada,https://karir.com/opportunities/1326580
5,karir,SALES PENJUALAN,PT Srimurni Surabaya,Surabaya, Penjualan dan Pemasaran. Jenjang Karir. Pemula / Staf. Pengalaman. Setidaknya 2 tahun. Jurusan. Pemasaran. Lulusan. Diploma,-,-, Persyaratan  1  Diutamakan Perempuan  2  Usia Max  30 th  3  Pendidikan Min  D3  4  Memiliki pengalaman di bidang penjualan min  2 th  5  Menguasai Ms  Office  6  Bisa teamwork  7  Teliti Aktif Komunikatif Tegas Jujur dan Mau Belajar  8  Domisili Jawa Timur  Berkas lamaran dapat dikirim via email   langsung   Alamat   Jl  Ruko Mutiara Dupak Blok A6 A7 No 63 A  Email   hanum srimurni co id  Tanggung Jawab  1  Menawarkan barang atau jasa produksi perusahaan kepada konsumen  2  Melayani penjualan baik melalui telepon atau WA kantor  3  Melakukan komunikasi dengan pelanggan  4  Menjelaskan spesifikasi produk yang dijual kepada konsumen  5  Memberi konsultasi barang dan jasa yang akan dijual kepada calon pembeli  6  Mengatur koordinasi pengiriman barang pada konsumen  7  Membuat strategi rencana dan target penjualan  8  Memastikan pencapaian target penjualan  9  Membuat data entry setiap transaksi  10  Melakukan semua aktivitas administrasi penjualan  11  Melakukan semua aktifitas administrasi penjualan   ,sale jual pt srimurni surabaya surabaya jual dan pasar jenjang karir mula staf alam tidak 2 tahun jurus pasar lulus diploma syarat 1 utama perempuan 2 usia max 30 th 3 didik min d3 4 milik alam di bidang jual min 2 th 5 kuasa ms offic 6 bisa teamwork 7 teliti aktif komunikatif tega jujur dan mau ajar 8 domisili jawa timur berka lamar dapat kirim via email langsung alamat jl ruko mutiara dupak blok a6 a7 no 63 a email hanum srimurni co id tanggung jawab 1 tawar barang atau jasa produksi usaha kepada konsumen 2 layan jual baik lalu telepon atau wa kantor 3 laku komunikasi dengan langgan 4 jelas spesifikasi produk yang jual kepada konsumen 5 beri konsultasi barang dan jasa yang akan jual kepada calon pemb 6 atur koordinasi kirim barang pada konsumen 7 buat strategi rencana dan target jual 8 pasti capai target jual 9 buat data entri tiap transaksi 10 laku semua aktivita administrasi jual 11 laku semua aktifita administrasi jual,https://karir.com/opportunities/1326505
6,glints,IT Field Support Surabaya ,Perusahaan Dirahasiakan,Surabaya, Engineering. Full-Time. Pengalaman kurang dari 1 tahun.,Skills wajib Basic It Troubleshooting Pc Troubleshooting Computer Troubleshooting Hardware Troubleshooting Skills tambahan Fluent In English Both Oral And Written,-, Deskripsi pekerjaan IT Field Support Surabaya  Mitra Infoparama  Kualifikasi    Pendidikan minimal SMK jurusan TKJ atau setara   Pengalaman kerja minimal 6 bulan   Menguasai perangkat keras  hardware  PC dan Laptop serta Operating System Windows   Mampu melakukan analisa dan perbaikan PC Laptop serta OS Windows   Mempunyai kendaraan pribadi dan SIM C aktif   Bersedia standby 24 7   Berdomisili di Kota Surabaya ,it field support surabaya usaha rahasia surabaya engin full time alam kurang dari 1 tahun skill wajib basic it troubleshoot pc troubleshoot comput troubleshoot hardwar troubleshoot skill tambah fluent in english both oral and written deskripsi kerja it field support surabaya mitra infoparama kualifikasi didik minim smk jurus tkj atau tara alam kerja minim 6 bulan kuasa perangkat kera hardwar pc dan laptop serta oper system window mampu laku analisa dan baik pc laptop serta os window punya kendara pribadi dan sim c aktif sedia standbi 24 7 domisili di kota surabaya,https://glints.com/id/opportunities/jobs/it-field-support-surabaya/b996ac7b-91d7-4709-9c5a-4dbcc96cd9f9
7,glints,Warehouse Supervisor - Surabaya,Perusahaan Dirahasiakan,Sidoarjo, Operations. Full-Time. 5 - 10 tahun pengalaman. Actively Hiring.,Skills wajib FEFO Implementation Supply Chain Management Leadership Warehouse Management System (WMS) Paham FIFO,keuntungan: Tunjangan kesehatan dan kebugaran Asuransi kesehatan Tunjangan pengembangan diri, Deskripsi pekerjaan Warehouse Supervisor   Surabaya Edenfarm  Responsibilities   Ensure ideal and proportional warehouse utilization  inbound storage picking manpower    Ensure all warehouse flows are in accordance with the set targets  Requirements   Minimum Bachelor Degree from reputable university in industrial engineering business administration management logistics or supply chain or other related subjects  Minimum 5 years experience in similar role  Strong understanding of warehouse administration operation distribution and inventory  Have good communication skill and good personality  Able to join ASAP and prefer domicile Surabaya Sidoarjo,warehous supervisor surabaya usaha rahasia sidoarjo oper full time 5 10 tahun alam activ hire skill wajib fefo implement suppli chain manag leadership warehous manag system wm paham fifo untung tunjang sehat dan bugar asuransi sehat tunjang kembang diri deskripsi kerja warehous supervisor surabaya edenfarm respons ensur ideal and proport warehous util inbound storag pick manpow ensur all warehous flow are in accord with the set target requir minimum bachelor degre from reput univers in industri engin busi administr manag logist or suppli chain or other rat subject minimum 5 year experi in similar role strong understand of warehous administr oper distribut and inventori have good commun skill and good person abl to join asap and prefer domicil surabaya sidoarjo,https://glints.com/id/opportunities/jobs/warehouse-supervisor-surabaya/e49941cb-7c15-40bc-89f9-3077e23c88c1
8,glints,Bancassurance Surabaya,Perusahaan Dirahasiakan,Surabaya, IDR. 3000000. - . 4500000. /. month. Bonus. . IDR. 0. /. year. Business Development / Sales. Full-Time. 1 - 3 tahun pengalaman.,Skills wajib Target Oriented Leadership Good Communication Skills Good In Selling Skill,keuntungan: Waktu kerja fleksibel Tunjangan kesehatan dan kebugaran Parental/family leave Asuransi kesehatan Tunjangan pengembangan diri Aktivitas team building, Deskripsi pekerjaan Bancassurance Surabaya PT Sunlife Financial Indonesia  Tanggung jawab pekerjaan    1  Membangun hubungan profesional dengan Bank Partner Sun Life Indonesia  2  Bekerja sama dengan staf bank untuk menawarkan produk dan layanan Sun LifeIndonesia  3  Bertanggung jawab atas pencapaian target penjualan  4  Menjaga kualitas penjualan produk asuransi di Bank Partner Sun Life Indonesia  Kualifikasi    § Usia antara 23 – 35 tahun  § Pendidikan minimal Gelar Diploma  § Mampu mengoperasikan komputer dan Ms  Office  § Berpengalaman dalam bekerja menggunakan aplikasi digital  § Berpengalaman untuk menangani customer secara langsung  § Berpengalaman pada aktivitas kerja berhubungan dengan penjualan  § Memiliki kemampuan berkomunikasi yang baik  § Menyukai tantangan dan berkomitmen tinggi untuk mencapai target  § Memiliki kemampuan untuk membangun hubungan baik dengan orang lain  § Mampu beradaptasi dengan cepat  § Memiliki keinginan yang tinggi untuk mempelajari hal baru  § Mampu bekerja secara mandiri dengan pengawasan minimal,bancassur surabaya usaha rahasia surabaya idr 3000000 4500000 month bonu idr 0 year busi develop sale full time 1 3 tahun alam skill wajib target orient leadership good commun skill good in sell skill untung waktu kerja fleksibel tunjang sehat dan bugar parent famili leav asuransi sehat tunjang kembang diri aktivita team build deskripsi kerja bancassur surabaya pt sunlif financi indonesia tanggung jawab kerja 1 bangun hubung profesion dengan bank partner sun life indonesia 2 kerja sama dengan staf bank untuk tawar produk dan layan sun lifeindonesia 3 tanggung jawab ata capai target jual 4 jaga kualita jual produk asuransi di bank partner sun life indonesia kualifikasi usia antara 23 35 tahun didik minim gelar diploma mampu operasi komput dan ms offic alam dalam kerja guna aplikasi digit alam untuk tangan custom cara langsung alam pada aktivita kerja hubung dengan jual milik mampu komunikasi yang baik suka tantang dan komitmen tinggi untuk capai target milik mampu untuk bangun hubung baik dengan orang lain mampu adaptasi dengan cepat milik ingin yang tinggi untuk ajar hal baru mampu kerja cara mandiri dengan awas minim,https://glints.com/id/opportunities/jobs/bancassurance-surabaya/6ac138ec-f135-4a2a-a90d-31ea5a5ea080
9,glints,Business Development Associate - Surabaya,Perusahaan Dirahasiakan,Surabaya, Business Development / Sales. Full-Time. 1 - 3 tahun pengalaman. Actively Hiring.,Skills wajib Negotiation Business Development Business Strategy,-, Deskripsi pekerjaan Business Development Associate   Surabaya Lalamove Indonesia  Lalamove is disrupting the logistics industry by connecting customers and drivers directly through our technology  We offer customers a lightning fast and convenient way to book delivery and moving services whether they are at their home at work or on the go  People talk about O2O we live it   Currently Lalamove is a leading global on demand delivery platform with millions of delivery partners serving millions of orders everyday  With 1600  employees spread across SEA INDIA and LATAM our 7 years old company has reached unicorn status in 2018 is well funded by prominent VCs and has kept growing at tremendous speed since  Our strength lies in our internal values namely Passion in serving local communities empowering SMEs and our driver partners Execution and Grit because that is how we differentiate ourselves by never giving up and striving for excellence and Humility   awareness in ourselves to learn from others and never stop improving   At Lalamove we strongly believe in the power of community  Millions of drivers and customers use our technology every day to connect with one another and move things that matter  Delivery is what we do best and we ensure it is always fast and simple  Since 2013 we have tackled the logistics industry head on to find the most innovative solutions for the world’s delivery needs   Our vision is to bring communities closer and make city life easier by allowing fast and convenient circulation of goods  We realise this vision with a ‘glocal’ approach building a robust operations team to adapt our product to local networks of businesses and delivery contractors  At the same time we have ambition to build an international brand by establishing an even more global presence   We are looking for a  Business Development Associate based in Surabaya    The ideal candidate has experience in fast paced dynamic environments and can help scale and manage our rapid growth across Indonesia  We are seeking someone who can thrive in a collaborative open and fun culture  If you are passionate about solving delivery problems through empowering communities come join us and experience exciting rapid growth   THE RECRUITMENT PROCESSES WILL BE CARRIED OUT IN ENGLISH AND ONLY SHORTLISTED CANDIDATES WILL BE NOTIFIED  Job Descriptions  Market research  Area potential business cluster mapping potential SMEs competitor activity market researched or surveyed both online and offline  Sales operations  acquire and on board business users by maintaining a healthy pipeline of leads and by developing and taking care of professional relationships   Negotiation and closing of deals  lead contract negotiations to establish a strong working relationship with our local partners and to ensure economic sustainability and mutual growth of the partnership  Doing outreach to clients via cold calls emails meetings timely follow ups administrative work  contract drafting coordination    Become the face of Lalamove when engaging local partner to promote our services and values   What We Seek  Strong local network on which to rely for expanding the business   A can do attitude and grit to make things happen to identify and leverage new opportunities   An exceptional written and verbal communication skills to communicate accurately to potential users   A charming personality to build and maintain professional relationships   The ability to negotiate in getting the best deal out of every partnership   Huge willingness to learn  High motivated and proven to be survived under high pressure and targets  What Youll Need  Agreed to do both field sales and online sales  1 3 years of experience in B2B enterprise or corporate sales  start up logistic e commerce industry is a plus   Excellent presentation negotiation and persuasive skills  Knowledge and understanding of mobile and web technologies  Able to speak English and Local languange will be additional value and consideration  Good understanding of local business knowledge  Experience in API integration aggregator and merchant relationship will be some pluses,busi develop associ surabaya usaha rahasia surabaya busi develop sale full time 1 3 tahun alam activ hire skill wajib negoti busi develop busi strategi deskripsi kerja busi develop associ surabaya lalamov indonesia lalamov is disrupt the logist industri by connect custom and driver directli through our technolog we offer custom a lightn fast and conveni way to book deliveri and move servic whether they are at their home at work or on the go peopl talk about o2o we live it current lalamov is a lead global on demand deliveri platform with million of deliveri partner serv million of order everyday with 1600 employe spread across sea india and latam our 7 year old compani ha reach unicorn statu in 2018 is well fund by promin vc and ha kept grow at tremend speed sinc our strength lie in our intern valu name passion in serv local commun empow sme and our driver partner execut and grit becaus that is how we differenti ourselv by never give up and strive for excel and humil awar in ourselv to learn from other and never stop improv at lalamov we strongli believ in the power of commun million of driver and custom use our technolog everi day to connect with one anoth and move thing that matter deliveri is what we do best and we ensur it is alway fast and simpl sinc 2013 we have tackl the logist industri head on to find the most innov solut for the world s deliveri need our vision is to bring commun closer and make cit life easier by allow fast and conveni circul of good we realis thi vision with a glocal approach build a robust oper team to adapt our product to local network of busi and deliveri contractor at the same time we have ambit to build an intern brand by establish an even more global presenc we are look for a busi develop associ base in surabaya the ideal candid ha experi in fast pace dynam environ and can help scale and manag our rapid growth across indonesia we are seek someon who can thrive in a collabor open and fun cultur if you are passion about solv deliveri problem through empow commun come join us and experi excit rapid growth the recruit process will be carri out in english and onli shortlist candid will be notifi job descript market research area potenti busi cluster map potenti sme competitor activ market research or survey both onlin and offlin sale oper acquir and on board busi user by maintain a healthi pipelin of lead and by develop and take care of profession relationship negoti and close of deal lead contract negoti to establish a strong work relationship with our local partner and to ensur econom sustain and mutual growth of the partnership do outreach to client via cold call email meet time follow up administr work contract draft coordin becom the face of lalamov when engag local partner to promot our servic and valu what we seek strong local network on which to reli for expand the busi a can do attitud and grit to make thing happen to identifi and leverag new opportun an except written and verbal commun skill to commun accur to potenti user a charm person to build and maintain profession relationship the abil to negoti in get the best deal out of everi partnership huge willing to learn high motiv and proven to be surviv under high pressur and target what youll need agre to do both field sale and onlin sale 1 3 year of experi in b2b enterpris or corpor sale start up logist e commerc industri is a plu excel present negoti and persuas skill knowledg and understand of mobil and web technolog abl to speak english and local languang will be addit valu and consider good understand of local busi knowledg experi in api integr aggreg and merchant relationship will be some pluse,https://glints.com/id/opportunities/jobs/business-development-associate-surabaya/c55205cb-a71b-4d8b-92df-0ead166e269e
