,id_lowongan,asal_situs,link_lowongan
0,21728,karir,https://karir.com/opportunities/1316207
1,21883,karir,https://karir.com/opportunities/1322688
2,22503,karir,https://karir.com/opportunities/1322625
3,22504,karir,https://karir.com/opportunities/1322626
4,22505,karir,https://karir.com/opportunities/1322693
5,22506,karir,https://karir.com/opportunities/1322627
6,22507,karir,https://karir.com/opportunities/1322624
7,23090,karir,https://karir.com/opportunities/1322668
8,23228,karir,https://karir.com/opportunities/1317891
9,23229,karir,https://karir.com/opportunities/1319235
10,23231,karir,https://karir.com/opportunities/1317890
11,23324,karir,https://karir.com/opportunities/1322645
12,24307,karir,https://karir.com/opportunities/1322649
13,24720,karir,https://karir.com/opportunities/1319106
14,24726,karir,https://karir.com/opportunities/1322620
15,24916,karir,https://karir.com/opportunities/1322646
16,24917,karir,https://karir.com/opportunities/1322642
17,24919,karir,https://karir.com/opportunities/1322636
18,25154,glints,https://glints.com/id/opportunities/jobs/senior-python-django-developer-remote/fd239b96-ab5c-4edc-9177-463e588b4fd2
19,25155,glints,https://glints.com/id/opportunities/jobs/magang-kerja-programmer-python/4be320fd-050e-43e6-971f-0fce0284b0b0
20,25156,glints,https://glints.com/id/opportunities/jobs/internship-pkl-programmer-python/3da9b79e-1142-45d2-9a64-d4680d646bfd
21,25157,glints,https://glints.com/id/opportunities/jobs/sr-backend-developer-python-cloud/5bb243f5-7f90-4d07-9fd6-8e3c11a228af
22,25158,glints,https://glints.com/id/opportunities/jobs/fast-api-backend-developer-python/97060208-3d35-46d5-b317-3c611987646e
23,25159,glints,https://glints.com/id/opportunities/jobs/back-end-developer-golang-java-python/5c26767b-0284-43e4-a3e0-37acd44b77d5
24,25160,glints,https://glints.com/id/opportunities/jobs/backend-phyton-developer/f6ff2768-619a-4690-bdb1-1d3457c83c1b
25,25161,glints,https://glints.com/id/opportunities/jobs/odoo-functional-consultant-full-wfh-during-covid-19/e79a267e-a110-4152-bc90-1be206a671e7
26,25162,glints,https://glints.com/id/opportunities/jobs/software-quality-assurance/2aaacf55-2328-4996-ae16-e7d3099f1b4c
27,25178,glints,https://glints.com/id/opportunities/jobs/hardware-and-software-engineer/5ed344a2-23e1-4b0d-a5d2-487e6ac6cba2
28,25179,glints,https://glints.com/id/opportunities/jobs/public-relations-intern/44a10382-a7aa-435e-85df-b6e831d7dac0
29,25180,glints,https://glints.com/id/opportunities/jobs/hospitality-air-support-and-reservation-intern/a20357df-40b1-4238-a00f-1244f7db815c
30,25181,glints,https://glints.com/id/opportunities/jobs/social-media-strategist-intern/8dd4266c-33b7-4074-beca-41d53dd4250d
31,25182,glints,https://glints.com/id/opportunities/jobs/backend-developer-intern/c488aa68-28a5-4e0e-bb80-f261bbb89ff5
32,25183,glints,https://glints.com/id/opportunities/jobs/frontend-developer-intern/9fda66ed-c4c6-4860-ba5a-eaf42e09c0c8
33,25184,glints,https://glints.com/id/opportunities/jobs/business-development-intern/228da09d-f7f8-444b-9482-1b2691359f5b
34,25185,glints,https://glints.com/id/opportunities/jobs/back-end-programer/4f6d13da-54c6-44ff-84fb-9b3b81b4492c
35,25186,glints,https://glints.com/id/opportunities/jobs/magang-php-programmer/118d143f-201f-40c5-b75b-bc763e2a7100
36,25187,glints,https://glints.com/id/opportunities/jobs/magang-kerja-php-programmer/c5c6326a-0add-45c8-8b3c-e2e951e973bf
37,25189,glints,https://glints.com/id/opportunities/jobs/magang-pkl-programer-php/3c1788ba-d375-42b3-b8a4-fa8862d82eca
38,25190,glints,https://glints.com/id/opportunities/jobs/internship-magang-programer-php/f2f8ff73-fb13-46e9-a424-dca131aaab0b
39,25192,glints,https://glints.com/id/opportunities/jobs/internship-programmer-php/23829d90-cc8b-4391-941b-81a10ea081c4
40,25195,glints,https://glints.com/id/opportunities/jobs/digital-marketing-manager/21d88300-d407-43d5-a9d2-ab213ea7aa78
41,25198,glints,https://glints.com/id/opportunities/jobs/programer-arduino/d78a10c3-3002-4e53-81ea-0c5626231927
